1. Найти все драмы, выпущенные после 2005 года, которые понравились женщинам (оценка не ниже 4.5). Для каждого фильма в этом списке вывести название, год выпуска и количество таких оценок.
--------------------------------------------------
select m.title, m.year, count(rating) as ratings_count from movies m join ratings r on m.id = r.movie_id join users u on r.user_id = u.id where instr(m.genres, 'Drama') > 0 and u.gender = 'female' and m.year > 2005 and rating >= 4.5 group by m.id;
┌──────────────────────────────────────────────────────────┬──────┬───────────────┐
│                          title                           │ year │ ratings_count │
│ Paper Birds (Pájaros de papel)                           │ 2010 │ 1             │
│ Help, The                                                │ 2011 │ 1             │
│ Moneyball                                                │ 2011 │ 1             │
│ Warrior                                                  │ 2011 │ 1             │
│ The Artist                                               │ 2011 │ 1             │
│ Carnage                                                  │ 2011 │ 1             │
│ Margin Call                                              │ 2011 │ 1             │
│ Hugo                                                     │ 2011 │ 1             │
│ The Hunger Games                                         │ 2012 │ 1             │
│ Girl with the Dragon Tattoo, The                         │ 2011 │ 1             │
│ Intouchables                                             │ 2011 │ 5             │
│ Best Exotic Marigold Hotel, The                          │ 2011 │ 1             │
│ Eva                                                      │ 2011 │ 1             │
│ Moonrise Kingdom                                         │ 2012 │ 1             │
│ Hunt, The (Jagten)                                       │ 2012 │ 1             │
│ Argo                                                     │ 2012 │ 2             │
│ Cloud Atlas                                              │ 2012 │ 2             │
│ Silver Linings Playbook                                  │ 2012 │ 3             │
│ Flight                                                   │ 2012 │ 1             │
│ Life of Pi                                               │ 2012 │ 2             │
│ Lincoln                                                  │ 2012 │ 1             │
│ Zero Dark Thirty                                         │ 2012 │ 1             │
│ Django Unchained                                         │ 2012 │ 2             │
│ This Is 40                                               │ 2012 │ 1             │
│ It''s Such a Beautiful Day                               │ 2012 │ 1             │
│ Side Effects                                             │ 2013 │ 1             │
│ About Time                                               │ 2013 │ 1             │
│ Dallas Buyers Club                                       │ 2013 │ 2             │
│ Wolf of Wall Street, The                                 │ 2013 │ 2             │
│ American Hustle                                          │ 2013 │ 1             │
│ Secret Life of Walter Mitty, The                         │ 2013 │ 2             │
│ Her                                                      │ 2013 │ 1             │
│ Snowpiercer                                              │ 2013 │ 1             │
│ Grand Budapest Hotel, The                                │ 2014 │ 1             │
│ Lilting                                                  │ 2014 │ 1             │
│ Birdman: Or (The Unexpected Virtue of Ignorance)         │ 2014 │ 2             │
│ Boyhood                                                  │ 2014 │ 2             │
│ Frank                                                    │ 2014 │ 1             │
│ Whiplash                                                 │ 2014 │ 3             │
│ Gone Girl                                                │ 2014 │ 1             │
│ Nightcrawler                                             │ 2014 │ 1             │
│ The Imitation Game                                       │ 2014 │ 2             │
│ The Theory of Everything                                 │ 2014 │ 1             │
│ Still Alice                                              │ 2014 │ 1             │
│ Victoria                                                 │ 2015 │ 1             │
│ The Martian                                              │ 2015 │ 3             │
│ Inside Out                                               │ 2015 │ 1             │
│ Steve Jobs                                               │ 2015 │ 1             │
│ The Jungle Book                                          │ 2016 │ 1             │
│ The Revenant                                             │ 2015 │ 1             │
│ The Gift                                                 │ 2015 │ 1             │
│ Straight Outta Compton                                   │ 2015 │ 1             │
│ Silence                                                  │ 2016 │ 1             │
│ Creed                                                    │ 2015 │ 1             │
│ Big Short, The                                           │ 2015 │ 1             │
│ The Girl with All the Gifts                              │ 2016 │ 1             │
│ Mystère à la Tour Eiffel                                 │ 2015 │ 1             │
│ Bliss                                                    │ 2012 │ 1             │
└──────────────────────────────────────────────────────────┴──────┴───────────────┘
 
2. Провести анализ востребованности ресурса - вывести количество пользователей, регистрировавшихся на сайте в каждом году. Найти, в каких годах регистрировалось больше всего и меньше всего пользователей.
--------------------------------------------------
select * from registration_statistics;
┌───────────────┬─────────────────────┐
│ registered_at │ registrations_count │
├───────────────┼─────────────────────┤
│ 2005          │ 59                  │
│ 2006          │ 63                  │
│ 2007          │ 61                  │
│ 2008          │ 59                  │
│ 2009          │ 56                  │
│ 2010          │ 59                  │
│ 2011          │ 59                  │
│ 2012          │ 52                  │
│ 2013          │ 57                  │
│ 2014          │ 53                  │
│ 2015          │ 55                  │
│ 2016          │ 58                  │
│ 2017          │ 80                  │
│ 2018          │ 48                  │
│ 2019          │ 57                  │
│ 2020          │ 63                  │
│ 2021          │ 4                   │
└───────────────┴─────────────────────┘
select max(registrations_count) as max_count, registered_at from registration_statistics;
┌───────────┬───────────────┐
│ max_count │ registered_at │
├───────────┼───────────────┤
│ 80        │ 2017          │
└───────────┴───────────────┘
select min(registrations_count) as min_count, registered_at from registration_statistics;
┌───────────┬───────────────┐
│ min_count │ registered_at │
├───────────┼───────────────┤
│ 4         │ 2021          │
└───────────┴───────────────┘
drop view registration_statistics;
 
3. Найти все пары пользователей, оценивших один и тот же фильм. Устранить дубликаты, проверить отсутствие пар с самим собой. Для каждой пары должны быть указаны имена пользователей и название фильма, который они ценили.
--------------------------------------------------
select m.title as movie, u1.name as first_user, u2.name as second_user from ratings r1 join ratings r2 on r1.movie_id = r2.movie_id and r1.id > r2.id join movies m on r1.movie_id = m.id join users u1 on r1.user_id = u1.id join users u2 on r2.user_id = u2.id order by m.id limit 200;
┌───────────┬────────────────────┬─────────────────┐
│   movie   │     first_user     │   second_user   │
├───────────┼────────────────────┼─────────────────┤
│ Toy Story │ Reva Cassin        │ Vincenza Kunze  │
│ Toy Story │ Elvera Weber       │ Vincenza Kunze  │
│ Toy Story │ Melissa O''Hara    │ Vincenza Kunze  │
│ Toy Story │ Lewis Johns        │ Vincenza Kunze  │
│ Toy Story │ Emil Lowe          │ Vincenza Kunze  │
│ Toy Story │ Myles Senger       │ Vincenza Kunze  │
│ Toy Story │ Emilie Mitchell    │ Vincenza Kunze  │
│ Toy Story │ Zechariah Price    │ Vincenza Kunze  │
│ Toy Story │ Joy Medhurst       │ Vincenza Kunze  │
│ Toy Story │ Hector D''Amore    │ Vincenza Kunze  │
│ Toy Story │ Angela Hudson      │ Vincenza Kunze  │
│ Toy Story │ Wyatt Jerde        │ Vincenza Kunze  │
│ Toy Story │ Paul Heller        │ Vincenza Kunze  │
│ Toy Story │ Juvenal Steuber    │ Vincenza Kunze  │
│ Toy Story │ Cassie Purdy       │ Vincenza Kunze  │
│ Toy Story │ Scarlett Dickinson │ Vincenza Kunze  │
│ Toy Story │ Mercedes Lesch     │ Vincenza Kunze  │
│ Toy Story │ Aimee Davis        │ Vincenza Kunze  │
│ Toy Story │ Gilbert Cartwright │ Vincenza Kunze  │
│ Toy Story │ Augusta Kreiger    │ Vincenza Kunze  │
│ Toy Story │ Mariah Upton       │ Vincenza Kunze  │
│ Toy Story │ Ervin Rempel       │ Vincenza Kunze  │
│ Toy Story │ Kip Lindgren       │ Vincenza Kunze  │
│ Toy Story │ Michaela Anderson  │ Vincenza Kunze  │
│ Toy Story │ Janice Denesik     │ Vincenza Kunze  │
│ Toy Story │ Timothy Kohler     │ Vincenza Kunze  │
│ Toy Story │ Ahmad Murray       │ Vincenza Kunze  │
│ Toy Story │ Mathias Kuvalis    │ Vincenza Kunze  │
│ Toy Story │ Kirsten Spencer    │ Vincenza Kunze  │
│ Toy Story │ Ima Connelly       │ Vincenza Kunze  │
│ Toy Story │ Agustin Miller     │ Vincenza Kunze  │
│ Toy Story │ Brendon Purdy      │ Vincenza Kunze  │
│ Toy Story │ Jordan Rohan       │ Vincenza Kunze  │
│ Toy Story │ Sabina Rodriguez   │ Vincenza Kunze  │
│ Toy Story │ Horacio Turcotte   │ Vincenza Kunze  │
│ Toy Story │ Velda Yost         │ Vincenza Kunze  │
│ Toy Story │ Darlene Ullrich    │ Vincenza Kunze  │
│ Toy Story │ Theo Schultz       │ Vincenza Kunze  │
│ Toy Story │ Camila Vandervort  │ Vincenza Kunze  │
│ Toy Story │ Zula Swaniawski    │ Vincenza Kunze  │
│ Toy Story │ Kayden Okuneva     │ Vincenza Kunze  │
│ Toy Story │ Marcus Wolff       │ Vincenza Kunze  │
│ Toy Story │ Caden Mohr         │ Vincenza Kunze  │
│ Toy Story │ Bridgette Lehner   │ Vincenza Kunze  │
│ Toy Story │ Arvilla Hyatt      │ Vincenza Kunze  │
│ Toy Story │ Darrel Howe        │ Vincenza Kunze  │
│ Toy Story │ Elvera Weber       │ Reva Cassin     │
│ Toy Story │ Melissa O''Hara    │ Reva Cassin     │
│ Toy Story │ Lewis Johns        │ Reva Cassin     │
│ Toy Story │ Emil Lowe          │ Reva Cassin     │
│ Toy Story │ Myles Senger       │ Reva Cassin     │
│ Toy Story │ Emilie Mitchell    │ Reva Cassin     │
│ Toy Story │ Zechariah Price    │ Reva Cassin     │
│ Toy Story │ Joy Medhurst       │ Reva Cassin     │
│ Toy Story │ Hector D''Amore    │ Reva Cassin     │
│ Toy Story │ Angela Hudson      │ Reva Cassin     │
│ Toy Story │ Wyatt Jerde        │ Reva Cassin     │
│ Toy Story │ Paul Heller        │ Reva Cassin     │
│ Toy Story │ Juvenal Steuber    │ Reva Cassin     │
│ Toy Story │ Cassie Purdy       │ Reva Cassin     │
│ Toy Story │ Scarlett Dickinson │ Reva Cassin     │
│ Toy Story │ Mercedes Lesch     │ Reva Cassin     │
│ Toy Story │ Aimee Davis        │ Reva Cassin     │
│ Toy Story │ Gilbert Cartwright │ Reva Cassin     │
│ Toy Story │ Augusta Kreiger    │ Reva Cassin     │
│ Toy Story │ Mariah Upton       │ Reva Cassin     │
│ Toy Story │ Ervin Rempel       │ Reva Cassin     │
│ Toy Story │ Kip Lindgren       │ Reva Cassin     │
│ Toy Story │ Michaela Anderson  │ Reva Cassin     │
│ Toy Story │ Janice Denesik     │ Reva Cassin     │
│ Toy Story │ Timothy Kohler     │ Reva Cassin     │
│ Toy Story │ Ahmad Murray       │ Reva Cassin     │
│ Toy Story │ Mathias Kuvalis    │ Reva Cassin     │
│ Toy Story │ Kirsten Spencer    │ Reva Cassin     │
│ Toy Story │ Ima Connelly       │ Reva Cassin     │
│ Toy Story │ Agustin Miller     │ Reva Cassin     │
│ Toy Story │ Brendon Purdy      │ Reva Cassin     │
│ Toy Story │ Jordan Rohan       │ Reva Cassin     │
│ Toy Story │ Sabina Rodriguez   │ Reva Cassin     │
│ Toy Story │ Horacio Turcotte   │ Reva Cassin     │
│ Toy Story │ Velda Yost         │ Reva Cassin     │
│ Toy Story │ Darlene Ullrich    │ Reva Cassin     │
│ Toy Story │ Theo Schultz       │ Reva Cassin     │
│ Toy Story │ Camila Vandervort  │ Reva Cassin     │
│ Toy Story │ Zula Swaniawski    │ Reva Cassin     │
│ Toy Story │ Kayden Okuneva     │ Reva Cassin     │
│ Toy Story │ Marcus Wolff       │ Reva Cassin     │
│ Toy Story │ Caden Mohr         │ Reva Cassin     │
│ Toy Story │ Bridgette Lehner   │ Reva Cassin     │
│ Toy Story │ Arvilla Hyatt      │ Reva Cassin     │
│ Toy Story │ Darrel Howe        │ Reva Cassin     │
│ Toy Story │ Melissa O''Hara    │ Elvera Weber    │
│ Toy Story │ Lewis Johns        │ Elvera Weber    │
│ Toy Story │ Emil Lowe          │ Elvera Weber    │
│ Toy Story │ Myles Senger       │ Elvera Weber    │
│ Toy Story │ Emilie Mitchell    │ Elvera Weber    │
│ Toy Story │ Zechariah Price    │ Elvera Weber    │
│ Toy Story │ Joy Medhurst       │ Elvera Weber    │
│ Toy Story │ Hector D''Amore    │ Elvera Weber    │
│ Toy Story │ Angela Hudson      │ Elvera Weber    │
│ Toy Story │ Wyatt Jerde        │ Elvera Weber    │
│ Toy Story │ Paul Heller        │ Elvera Weber    │
│ Toy Story │ Juvenal Steuber    │ Elvera Weber    │
│ Toy Story │ Cassie Purdy       │ Elvera Weber    │
│ Toy Story │ Scarlett Dickinson │ Elvera Weber    │
│ Toy Story │ Mercedes Lesch     │ Elvera Weber    │
│ Toy Story │ Aimee Davis        │ Elvera Weber    │
│ Toy Story │ Gilbert Cartwright │ Elvera Weber    │
│ Toy Story │ Augusta Kreiger    │ Elvera Weber    │
│ Toy Story │ Mariah Upton       │ Elvera Weber    │
│ Toy Story │ Ervin Rempel       │ Elvera Weber    │
│ Toy Story │ Kip Lindgren       │ Elvera Weber    │
│ Toy Story │ Michaela Anderson  │ Elvera Weber    │
│ Toy Story │ Janice Denesik     │ Elvera Weber    │
│ Toy Story │ Timothy Kohler     │ Elvera Weber    │
│ Toy Story │ Ahmad Murray       │ Elvera Weber    │
│ Toy Story │ Mathias Kuvalis    │ Elvera Weber    │
│ Toy Story │ Kirsten Spencer    │ Elvera Weber    │
│ Toy Story │ Ima Connelly       │ Elvera Weber    │
│ Toy Story │ Agustin Miller     │ Elvera Weber    │
│ Toy Story │ Brendon Purdy      │ Elvera Weber    │
│ Toy Story │ Jordan Rohan       │ Elvera Weber    │
│ Toy Story │ Sabina Rodriguez   │ Elvera Weber    │
│ Toy Story │ Horacio Turcotte   │ Elvera Weber    │
│ Toy Story │ Velda Yost         │ Elvera Weber    │
│ Toy Story │ Darlene Ullrich    │ Elvera Weber    │
│ Toy Story │ Theo Schultz       │ Elvera Weber    │
│ Toy Story │ Camila Vandervort  │ Elvera Weber    │
│ Toy Story │ Zula Swaniawski    │ Elvera Weber    │
│ Toy Story │ Kayden Okuneva     │ Elvera Weber    │
│ Toy Story │ Marcus Wolff       │ Elvera Weber    │
│ Toy Story │ Caden Mohr         │ Elvera Weber    │
│ Toy Story │ Bridgette Lehner   │ Elvera Weber    │
│ Toy Story │ Arvilla Hyatt      │ Elvera Weber    │
│ Toy Story │ Darrel Howe        │ Elvera Weber    │
│ Toy Story │ Lewis Johns        │ Melissa O''Hara │
│ Toy Story │ Emil Lowe          │ Melissa O''Hara │
│ Toy Story │ Myles Senger       │ Melissa O''Hara │
│ Toy Story │ Emilie Mitchell    │ Melissa O''Hara │
│ Toy Story │ Zechariah Price    │ Melissa O''Hara │
│ Toy Story │ Joy Medhurst       │ Melissa O''Hara │
│ Toy Story │ Hector D''Amore    │ Melissa O''Hara │
│ Toy Story │ Angela Hudson      │ Melissa O''Hara │
│ Toy Story │ Wyatt Jerde        │ Melissa O''Hara │
│ Toy Story │ Paul Heller        │ Melissa O''Hara │
│ Toy Story │ Juvenal Steuber    │ Melissa O''Hara │
│ Toy Story │ Cassie Purdy       │ Melissa O''Hara │
│ Toy Story │ Scarlett Dickinson │ Melissa O''Hara │
│ Toy Story │ Mercedes Lesch     │ Melissa O''Hara │
│ Toy Story │ Aimee Davis        │ Melissa O''Hara │
│ Toy Story │ Gilbert Cartwright │ Melissa O''Hara │
│ Toy Story │ Augusta Kreiger    │ Melissa O''Hara │
│ Toy Story │ Mariah Upton       │ Melissa O''Hara │
│ Toy Story │ Ervin Rempel       │ Melissa O''Hara │
│ Toy Story │ Kip Lindgren       │ Melissa O''Hara │
│ Toy Story │ Michaela Anderson  │ Melissa O''Hara │
│ Toy Story │ Janice Denesik     │ Melissa O''Hara │
│ Toy Story │ Timothy Kohler     │ Melissa O''Hara │
│ Toy Story │ Ahmad Murray       │ Melissa O''Hara │
│ Toy Story │ Mathias Kuvalis    │ Melissa O''Hara │
│ Toy Story │ Kirsten Spencer    │ Melissa O''Hara │
│ Toy Story │ Ima Connelly       │ Melissa O''Hara │
│ Toy Story │ Agustin Miller     │ Melissa O''Hara │
│ Toy Story │ Brendon Purdy      │ Melissa O''Hara │
│ Toy Story │ Jordan Rohan       │ Melissa O''Hara │
│ Toy Story │ Sabina Rodriguez   │ Melissa O''Hara │
│ Toy Story │ Horacio Turcotte   │ Melissa O''Hara │
│ Toy Story │ Velda Yost         │ Melissa O''Hara │
│ Toy Story │ Darlene Ullrich    │ Melissa O''Hara │
│ Toy Story │ Theo Schultz       │ Melissa O''Hara │
│ Toy Story │ Camila Vandervort  │ Melissa O''Hara │
│ Toy Story │ Zula Swaniawski    │ Melissa O''Hara │
│ Toy Story │ Kayden Okuneva     │ Melissa O''Hara │
│ Toy Story │ Marcus Wolff       │ Melissa O''Hara │
│ Toy Story │ Caden Mohr         │ Melissa O''Hara │
│ Toy Story │ Bridgette Lehner   │ Melissa O''Hara │
│ Toy Story │ Arvilla Hyatt      │ Melissa O''Hara │
│ Toy Story │ Darrel Howe        │ Melissa O''Hara │
│ Toy Story │ Emil Lowe          │ Lewis Johns     │
│ Toy Story │ Myles Senger       │ Lewis Johns     │
│ Toy Story │ Emilie Mitchell    │ Lewis Johns     │
│ Toy Story │ Zechariah Price    │ Lewis Johns     │
│ Toy Story │ Joy Medhurst       │ Lewis Johns     │
│ Toy Story │ Hector D''Amore    │ Lewis Johns     │
│ Toy Story │ Angela Hudson      │ Lewis Johns     │
│ Toy Story │ Wyatt Jerde        │ Lewis Johns     │
│ Toy Story │ Paul Heller        │ Lewis Johns     │
│ Toy Story │ Juvenal Steuber    │ Lewis Johns     │
│ Toy Story │ Cassie Purdy       │ Lewis Johns     │
│ Toy Story │ Scarlett Dickinson │ Lewis Johns     │
│ Toy Story │ Mercedes Lesch     │ Lewis Johns     │
│ Toy Story │ Aimee Davis        │ Lewis Johns     │
│ Toy Story │ Gilbert Cartwright │ Lewis Johns     │
│ Toy Story │ Augusta Kreiger    │ Lewis Johns     │
│ Toy Story │ Mariah Upton       │ Lewis Johns     │
│ Toy Story │ Ervin Rempel       │ Lewis Johns     │
│ Toy Story │ Kip Lindgren       │ Lewis Johns     │
│ Toy Story │ Michaela Anderson  │ Lewis Johns     │
│ Toy Story │ Janice Denesik     │ Lewis Johns     │
│ Toy Story │ Timothy Kohler     │ Lewis Johns     │
└───────────┴────────────────────┴─────────────────┘
 
4. Найти 10 самых старых оценок от разных пользователей, вывести названия фильмов, имена пользователей, оценку, дату отзыва в формате ГГГГ-ММ-ДД.
--------------------------------------------------
select distinct date(r.timestamp, 'unixepoch') as rated_at, u.name, r.rating from ratings r join users u on r.user_id = u.id group by u.name order by rated_at limit 10;
┌────────────┬──────────────────┬────────┐
│  rated_at  │       name       │ rating │
├────────────┼──────────────────┼────────┤
│ 1996-05-14 │ Zula Swaniawski  │ 3.0    │
│ 1996-05-23 │ Kari Kunze       │ 5.0    │
│ 1996-06-13 │ Cassie Nolan     │ 5.0    │
│ 1996-06-17 │ Agustin Miller   │ 5.0    │
│ 1996-06-24 │ Mercedes Lesch   │ 3.0    │
│ 1996-07-14 │ Dejon Jakubowski │ 4.0    │
│ 1996-07-21 │ Javier Sipes     │ 4.0    │
│ 1996-08-02 │ Tina Mohr        │ 5.0    │
│ 1996-08-04 │ Alia Jast        │ 4.0    │
│ 1996-08-06 │ Marion Kling     │ 3.0    │
└────────────┴──────────────────┴────────┘
 
5. Вывести в одном списке все фильмы с максимальным средним рейтингом и все фильмы с минимальным средним рейтингом. Общий список отсортировать по году выпуска и названию фильма. В зависимости от рейтинга в колонке 'Рекомендуем' для фильмов должно быть написано 'Да' или 'Нет'.
--------------------------------------------------
select title,year,rating,case when max_rating = rating then 'Yes' else 'No' end as recomendation from (select *, max(rating) over () as max_rating, min(rating) over () as min_rating from (select movies.title as title, movies.year as year, rating from movies join(select ratings.movie_id, avg(ratings.rating) as rating from ratings group by ratings.movie_id) ratings on ratings.movie_id = movies.id)) as avg_ratings where rating = max_rating or rating = min_rating order by year, title;
┌─────────────────────────────────────────────────────────────────────────────────┬──────┬────────┬───────────────┐
│                                      title                                      │ year │ rating │ recomendation │
├─────────────────────────────────────────────────────────────────────────────────┼──────┼────────┼───────────────┤
│ Babylon 5                                                                       │      │ 0.5    │ No            │
│ Andalusian Dog, An (Chien andalou, Un)                                          │ 1929 │ 5.0    │ Yes           │
│ Dr. Jekyll and Mr. Hyde                                                         │ 1931 │ 0.5    │ No            │
│ Iron Man                                                                        │ 1931 │ 0.5    │ No            │
│ Boudu Saved From Drowning (Boudu sauvé des eaux)                                │ 1932 │ 0.5    │ No            │
│ It Happened One Night                                                           │ 1934 │ 5.0    │ Yes           │
│ After the Thin Man                                                              │ 1936 │ 0.5    │ No            │
│ My Man Godfrey                                                                  │ 1936 │ 5.0    │ Yes           │
│ Sullivan''s Travels                                                             │ 1941 │ 5.0    │ Yes           │
│ I Walked with a Zombie                                                          │ 1943 │ 0.5    │ No            │
│ Dead of Night                                                                   │ 1945 │ 0.5    │ No            │
│ Picture of Dorian Gray, The                                                     │ 1945 │ 0.5    │ No            │
│ Best Years of Our Lives, The                                                    │ 1946 │ 5.0    │ Yes           │
│ Duel in the Sun                                                                 │ 1946 │ 5.0    │ Yes           │
│ Unfaithfully Yours                                                              │ 1948 │ 5.0    │ Yes           │
│ Born Yesterday                                                                  │ 1950 │ 5.0    │ Yes           │
│ Place in the Sun, A                                                             │ 1951 │ 5.0    │ Yes           │
│ Titanic                                                                         │ 1953 │ 5.0    │ Yes           │
│ Wages of Fear, The (Salaire de la peur, Le)                                     │ 1953 │ 0.5    │ No            │
│ Diabolique (Les diaboliques)                                                    │ 1955 │ 0.5    │ No            │
│ Kiss Me Deadly                                                                  │ 1955 │ 5.0    │ Yes           │
│ Man with the Golden Arm, The                                                    │ 1955 │ 5.0    │ Yes           │
│ Moby Dick                                                                       │ 1956 │ 5.0    │ Yes           │
│ While the City Sleeps                                                           │ 1956 │ 0.5    │ No            │
│ Written on the Wind                                                             │ 1956 │ 5.0    │ Yes           │
│ Paths of Glory                                                                  │ 1957 │ 5.0    │ Yes           │
│ Sweet Smell of Success                                                          │ 1957 │ 5.0    │ Yes           │
│ Witness for the Prosecution                                                     │ 1957 │ 5.0    │ Yes           │
│ 7th Voyage of Sinbad, The                                                       │ 1958 │ 5.0    │ Yes           │
│ Run Silent Run Deep                                                             │ 1958 │ 5.0    │ Yes           │
│ Time Machine, The                                                               │ 1960 │ 5.0    │ Yes           │
│ Yojimbo                                                                         │ 1961 │ 5.0    │ Yes           │
│ Exterminating Angel, The (Ángel exterminador, El)                               │ 1962 │ 0.5    │ No            │
│ Ivan''s Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo)                    │ 1962 │ 0.5    │ No            │
│ Kwaidan (Kaidan)                                                                │ 1964 │ 0.5    │ No            │
│ Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)                      │ 1964 │ 5.0    │ Yes           │
│ Woman in the Dunes (Suna no onna)                                               │ 1964 │ 5.0    │ Yes           │
│ Cincinnati Kid, The                                                             │ 1965 │ 0.5    │ No            │
│ Collector, The                                                                  │ 1965 │ 0.5    │ No            │
│ Faster Pussycat! Kill! Kill!                                                    │ 1965 │ 5.0    │ Yes           │
│ Sandpiper, The                                                                  │ 1965 │ 5.0    │ Yes           │
│ Spy Who Came in from the Cold, The                                              │ 1965 │ 0.5    │ No            │
│ Branded to Kill (Koroshi no rakuin)                                             │ 1967 │ 5.0    │ Yes           │
│ How to Succeed in Business Without Really Trying                                │ 1967 │ 5.0    │ Yes           │
│ Play Time (a.k.a. Playtime)                                                     │ 1967 │ 0.5    │ No            │
│ Witchfinder General (Conquerer Worm, The)                                       │ 1968 │ 0.5    │ No            │
│ Hello, Dolly!                                                                   │ 1969 │ 5.0    │ Yes           │
